iter	Passed	Remaining
0	3	10551
1	5	8910
2	7	7682
3	9	7162
4	11	6687
5	12	6358
6	14	6179
7	16	6226
8	18	6058
9	20	6076
10	22	6093
11	24	6073
12	26	6154
13	28	6157
14	30	6108
15	32	6042
16	33	5942
17	35	5902
18	38	5977
19	39	5947
20	41	5902
21	43	5922
22	46	5969
23	47	5936
24	49	5904
25	51	5896
26	53	5903
27	55	5884
28	57	5857
29	59	5912
30	61	5900
31	63	5864
32	64	5829
33	67	5851
34	68	5805
35	70	5802
36	72	5774
37	73	5746
38	75	5720
39	77	5710
40	78	5700
41	80	5696
42	82	5679
43	84	5662
44	85	5635
45	88	5651
46	89	5628
47	91	5626
48	93	5605
49	95	5646
50	97	5633
51	99	5619
52	101	5650
53	103	5632
54	104	5620
55	106	5608
56	108	5613
57	110	5600
58	112	5594
59	114	5590
60	115	5582
61	117	5579
62	119	5574
63	121	5556
64	123	5573
65	125	5564
66	126	5554
67	128	5543
68	130	5541
69	132	5527
70	134	5545
71	136	5546
72	138	5556
73	140	5555
74	142	5553
75	144	5562
76	146	5577
77	148	5567
78	150	5559
79	152	5551
80	154	5551
81	155	5550
82	158	5566
83	160	5570
84	162	5566
85	164	5560
86	166	5569
87	168	5574
88	170	5566
89	172	5573
90	174	5570
91	176	5576
92	177	5558
93	179	5552
94	182	5565
95	184	5567
96	185	5562
97	187	5566
98	190	5582
99	192	5581
100	194	5580
101	196	5584
102	199	5614
103	201	5611
104	203	5604
105	205	5607
106	207	5618
107	209	5617
108	211	5604
109	213	5601
110	215	5598
111	216	5595
112	219	5596
113	220	5582
114	222	5581
115	223	5568
116	225	5566
117	227	5557
118	229	5544
119	231	5548
120	232	5541
121	234	5542
122	236	5533
123	238	5538
124	240	5535
125	242	5528
126	244	5540
127	247	5549
128	248	5540
129	251	5542
130	252	5539
131	254	5537
132	256	5530
133	258	5523
134	260	5537
135	262	5532
136	264	5526
137	266	5517
138	268	5518
139	270	5517
140	271	5513
141	273	5505
142	275	5499
143	277	5498
144	278	5492
145	280	5482
146	282	5475
147	284	5476
148	285	5467
149	287	5466
150	289	5468
151	291	5467
152	294	5475
153	296	5477
154	298	5475
155	300	5473
156	302	5479
157	304	5476
158	307	5488
159	308	5483
160	310	5478
161	312	5479
162	314	5475
163	316	5478
164	319	5484
165	320	5477
166	322	5471
167	324	5466
168	327	5481
169	328	5473
170	330	5469
171	332	5463
172	333	5455
173	335	5452
174	337	5447
175	339	5443
176	341	5449
177	343	5445
178	345	5440
179	347	5437
180	348	5433
181	350	5428
182	352	5426
183	354	5432
184	356	5427
185	358	5423
186	360	5415
187	361	5413
188	363	5410
189	365	5411
190	367	5411
191	369	5408
192	371	5410
193	373	5402
194	375	5400
195	377	5396
196	379	5393
197	381	5393
198	383	5394
199	385	5392
200	386	5387
201	388	5385
202	390	5382
203	392	5379
204	394	5379
205	396	5382
206	398	5376
207	400	5376
208	402	5371
209	404	5368
210	405	5363
211	407	5361
212	409	5355
213	411	5352
214	412	5346
215	414	5344
216	417	5348
217	418	5345
218	420	5340
219	422	5339
220	424	5342
221	426	5336
222	428	5330
223	429	5325
224	431	5322
225	433	5316
226	435	5318
227	437	5316
228	439	5319
229	441	5312
230	443	5315
231	445	5311
232	447	5310
233	449	5309
234	450	5306
235	453	5305
236	454	5303
237	456	5303
238	458	5298
239	460	5296
240	462	5295
241	464	5294
242	466	5291
243	468	5290
244	470	5292
245	473	5296
246	475	5294
247	477	5293
248	478	5291
249	481	5294
250	483	5291
251	485	5292
252	487	5288
253	489	5288
254	490	5281
255	492	5279
256	494	5278
257	496	5280
258	498	5276
259	500	5275
260	503	5278
261	505	5281
262	507	5286
263	509	5284
264	511	5281
265	513	5280
266	516	5284
267	518	5288
268	521	5291
269	522	5287
